UF;BR;Km;Ano;Latitude;Longitude
AL;104;89,3;2023;-9,490936;-35,814958
Data;Hora;Sentido;(A) Ônibus/Caminhão de 2 eixos;(B) Ônibus/Caminhão de 3 eixos;(C) Caminhão de 4 eixos;(D) Caminhão de 5 eixos;(E) Caminhão de 6 eixos;(F) Caminhão de 7 eixos;(G) Caminhão de 8 eixos;(H) Caminhão de 9 eixos;(I) Passeio;(J) Motocicleta;(L) Indefinido
03/01/2023;0;C;8;5;4;1;0;0;0;0;81;20;0
03/01/2023;0;D;12;3;0;3;0;1;1;1;100;19;0
03/01/2023;1;C;11;7;0;0;1;1;0;0;52;13;2
03/01/2023;1;D;4;1;1;1;1;0;0;0;51;12;0
03/01/2023;2;C;10;3;1;1;0;0;0;0;38;11;1
03/01/2023;2;D;8;3;2;0;1;0;0;0;47;4;2
03/01/2023;3;C;20;7;1;0;4;0;0;0;35;8;1
03/01/2023;3;D;13;3;1;1;3;0;0;0;43;4;1
03/01/2023;4;C;34;11;6;3;1;0;0;1;87;43;4
03/01/2023;4;D;29;7;4;2;2;1;0;1;108;13;4
03/01/2023;5;C;113;20;7;1;12;0;0;1;351;227;6
03/01/2023;5;D;70;19;5;3;5;2;0;0;289;41;2
03/01/2023;6;C;111;29;9;10;16;0;0;0;483;405;9
03/01/2023;6;D;79;23;6;4;3;0;0;0;498;94;8
03/01/2023;7;C;83;29;8;5;7;1;0;2;565;322;6
03/01/2023;7;D;97;16;3;5;2;3;0;2;593;139;9
03/01/2023;8;C;107;28;7;9;14;2;0;1;577;164;13
03/01/2023;8;D;113;21;5;4;2;3;0;3;575;122;12
03/01/2023;9;C;78;17;15;7;5;2;0;2;607;131;10
03/01/2023;9;D;104;26;10;5;4;0;0;2;591;98;9
03/01/2023;10;C;84;25;6;5;4;3;0;2;565;100;6
03/01/2023;10;D;96;24;7;10;7;2;0;4;559;105;12
03/01/2023;11;C;73;14;2;9;8;1;0;4;566;108;7
03/01/2023;11;D;105;22;12;9;8;0;0;1;575;112;9
03/01/2023;12;C;74;14;7;3;5;0;0;3;545;146;8
03/01/2023;12;D;90;13;11;7;4;0;0;0;517;152;11
03/01/2023;13;C;88;30;6;4;6;2;0;2;511;109;11
03/01/2023;13;D;86;20;7;3;7;0;0;3;456;111;14
03/01/2023;14;C;92;17;8;7;3;1;0;3;543;125;6
03/01/2023;14;D;107;10;10;5;5;0;0;1;532;124;10
03/01/2023;15;C;101;16;7;7;9;0;0;2;563;129;10
03/01/2023;15;D;94;27;16;6;7;3;1;1;520;149;10
03/01/2023;16;C;104;13;11;3;6;1;0;0;612;134;13
03/01/2023;16;D;97;22;16;1;5;2;1;1;559;204;11
03/01/2023;17;C;74;9;4;2;3;1;0;0;665;174;9
03/01/2023;17;D;96;23;17;8;6;4;0;0;625;367;16
03/01/2023;18;C;59;9;4;6;3;0;0;3;515;142;8
03/01/2023;18;D;97;27;9;6;9;0;0;2;575;276;10
03/01/2023;19;C;42;8;2;1;5;1;0;0;412;94;8
