;;;;;;Variação do Volume Médio Mensal - VMDm;;;;;;;
UF;BR;Km;Ano;Latitude;Longitude
AL;104;89,3;2024;-9,490936;-35,814958
;;;;;;Classes PNCT;;;;;;;
Mês;Sentido;Nº Dias;VMDm;(A) Ônibus/Caminhão de 2 eixos;(B) Ônibus/Caminhão de 3 eixos;(C) Caminhão de 4 eixos;(D) Caminhão de 5 eixos;(E) Caminhão de 6 eixos;(F) Caminhão de 7 eixos;(G) Caminhão de 8 eixos;(H) Caminhão de 9 eixos;(I) Passeio;(J) Motocicleta;(L) Indefinido
;C;26;13521;1447;339;121;84;97;22;0;18;8239;2999;155
;D;26;12238;1680;319;128;88;84;19;1;11;8063;1691;154
Janeiro;Total;26;25759;3127;658;249;172;181;41;1;29;16302;4690;309
;C;24;15008;1608;335;130;88;106;22;0;16;9162;3371;170
;D;24;13229;1843;318;144;96;89;19;0;11;8643;1896;170
Fevereiro;Total;24;28237;3451;653;274;184;195;41;0;27;17805;5267;340
;C;30;14416;1519;302;124;75;100;22;0;13;8774;3325;162
;D;30;13130;1773;296;138;86;84;17;1;8;8628;1939;160
Março;Total;30;27546;3292;598;262;161;184;39;1;21;17402;5264;322
;C;27;14082;1581;320;127;75;93;18;0;11;8434;3273;150
;D;27;13280;1861;333;147;91;73;12;0;6;8630;1973;154
Abril;Total;27;27362;3442;653;274;166;166;30;0;17;17064;5246;304
;C;25;13647;1495;307;120;76;94;21;0;13;8311;3063;147
;D;25;12839;1747;307;140;86;71;15;1;6;8457;1862;147
Maio;Total;25;26486;3242;614;260;162;165;36;1;19;16768;4925;294
;C;31;14010;1408;323;127;88;92;26;0;12;8529;3265;140
;D;31;12820;1598;315;146;89;69;14;1;4;8456;1975;153
Agosto;Total;31;26830;3006;638;273;177;161;40;1;16;16985;5240;293
;C;25;13759;1061;328;122;74;88;33;0;12;8772;3123;146
;D;25;12458;1139;326;137;85;66;15;1;5;8617;1914;153
Setembro;Total;25;26217;2200;654;259;159;154;48;1;17;17389;5037;299
;C;25;14771;1175;363;133;90;111;42;0;14;9260;3419;164
;D;25;13225;1235;349;152;101;77;19;1;6;8986;2121;178
Outubro;Total;25;27996;2410;712;285;191;188;61;1;20;18246;5540;342
;C;30;15014;1119;344;135;90;103;47;1;13;9533;3465;164
;D;30;13464;1170;322;147;95;70;24;1;7;9284;2173;171
Novembro;Total;30;28478;2289;666;282;185;173;71;2;20;18817;5638;335
