;;;;;;Volume Total Diário - VTD;;;;;;;
UF;BR;Km;Ano;Latitude;Longitude
AL;104;89,3;2024;-9,490936;-35,814958
;;;;;;Classes PNCT;;;;;;;
Dia;Sentido;VTD;(A) Ônibus/Caminhão de 2 eixos;(B) Ônibus/Caminhão de 3 eixos;(C) Caminhão de 4 eixos;(D) Caminhão de 5 eixos;(E) Caminhão de 6 eixos;(F) Caminhão de 7 eixos;(G) Caminhão de 8 eixos;(H) Caminhão de 9 eixos;(I) Passeio;(J) Motocicleta;(L) Indefinido
;C;12578;691;72;18;5;18;2;1;3;9580;2134;54
;D;11534;763;68;22;28;27;4;0;7;9348;1221;46
01/01/2024;Total;24112;1454;140;40;33;45;6;1;10;18928;3355;100
;C;15700;1615;362;135;89;101;25;0;37;9929;3212;195
;D;12046;1637;317;128;120;68;21;0;12;8074;1525;144
02/01/2024;Total;27746;3252;679;263;209;169;46;0;49;18003;4737;339
;C;14773;1750;476;149;115;129;37;0;29;8715;3188;185
;D;13679;2009;434;139;132;97;30;2;14;8839;1819;164
03/01/2024;Total;28452;3759;910;288;247;226;67;2;43;17554;5007;349
;C;12929;1487;410;131;88;100;34;1;13;7585;2902;178
;D;9818;1482;315;98;68;76;17;0;17;6195;1407;143
04/01/2024;Total;22747;2969;725;229;156;176;51;1;30;13780;4309;321
;C;13199;1478;336;117;65;104;21;0;16;8041;2845;176
;D;12667;1778;332;153;91;82;25;4;9;8220;1785;188
05/01/2024;Total;25866;3256;668;270;156;186;46;4;25;16261;4630;364
;C;10571;945;163;69;49;80;15;0;9;6735;2374;132
;D;10053;1026;167;64;46;55;14;2;10;7089;1428;152
06/01/2024;Total;20624;1971;330;133;95;135;29;2;19;13824;3802;284
;C;14132;1592;336;117;80;88;36;3;15;8531;3181;153
;D;12824;1794;339;135;103;93;32;1;5;8364;1802;156
08/01/2024;Total;26956;3386;675;252;183;181;68;4;20;16895;4983;309
;C;14730;1747;439;142;84;102;22;1;25;8702;3290;176
;D;13845;2120;437;159;114;80;32;3;20;8680;2040;160
09/01/2024;Total;28575;3867;876;301;198;182;54;4;45;17382;5330;336
;C;11227;1314;349;118;69;100;12;0;19;6684;2453;109
;D;10317;1542;309;120;77;80;18;0;15;6659;1386;111
10/01/2024;Total;21544;2856;658;238;146;180;30;0;34;13343;3839;220
;C;14145;1706;405;123;100;108;24;1;17;8525;2969;167
;D;13694;2129;388;167;131;107;21;1;9;8762;1794;185
11/01/2024;Total;27839;3835;793;290;231;215;45;2;26;17287;4763;352
;C;14643;1689;445;114;110;92;22;0;18;8824;3148;181
;D;14082;2095;422;163;70;75;19;2;21;9101;1916;198
12/01/2024;Total;28725;3784;867;277;180;167;41;2;39;17925;5064;379
;C;12805;1475;344;149;108;113;30;0;15;7338;3070;163
;D;13253;2004;396;161;105;129;23;1;19;8223;2007;185
16/01/2024;Total;26058;3479;740;310;213;242;53;1;34;15561;5077;348
;C;14430;1751;485;139;102;123;25;0;17;8312;3332;144
;D;13126;2024;398;159;110;113;19;1;16;8206;1932;148
17/01/2024;Total;27556;3775;883;298;212;236;44;1;33;16518;5264;292
;C;14942;1699;354;148;107;91;27;1;15;8923;3415;162
;D;13876;2012;342;156;90;108;17;0;16;9022;1934;179
19/01/2024;Total;28818;3711;696;304;197;199;44;1;31;17945;5349;341
;C;13936;1208;277;99;77;108;16;2;19;8765;3205;160
;D;13889;1534;285;103;58;84;17;0;10;9543;2062;193
20/01/2024;Total;27825;2742;562;202;135;192;33;2;29;18308;5267;353
;C;12562;811;100;53;19;43;7;1;14;8921;2464;129
;D;10973;876;120;50;37;58;3;0;8;8213;1493;115
21/01/2024;Total;23535;1687;220;103;56;101;10;1;22;17134;3957;244
;C;15920;1730;373;156;96;112;29;2;13;9622;3608;179
;D;13628;1973;320;152;115;98;14;1;11;8879;1917;148
22/01/2024;Total;29548;3703;693;308;211;210;43;3;24;18501;5525;327
;C;10476;1235;340;124;89;97;21;0;12;5930;2490;138
;D;9093;1434;299;128;77;60;16;1;9;5742;1209;118
23/01/2024;Total;19569;2669;639;252;166;157;37;1;21;11672;3699;256
;C;11324;1419;345;134;95;89;21;1;13;6330;2764;113
;D;10051;1509;301;120;91;92;21;3;11;6197;1580;126
24/01/2024;Total;21375;2928;646;254;186;181;42;4;24;12527;4344;239
;C;14907;1758;448;154;116;118;24;1;31;8806;3274;177
;D;13629;2157;430;159;108;105;20;1;11;8582;1867;189
25/01/2024;Total;28536;3915;878;313;224;223;44;2;42;17388;5141;366
;C;15729;1779;450;167;132;117;29;2;24;9434;3414;181
;D;14819;2097;446;172;104;103;27;2;14;9649;1996;209
26/01/2024;Total;30548;3876;896;339;236;220;56;4;38;19083;5410;390
;C;13928;1212;301;105;85;94;15;0;26;8620;3278;192
;D;13774;1556;272;119;71;65;27;0;6;9434;2007;217
27/01/2024;Total;27702;2768;573;224;156;159;42;0;32;18054;5285;409
;C;12548;701;122;50;29;46;6;1;11;8960;2483;139
;D;10751;911;135;56;46;61;6;0;8;8007;1405;116
28/01/2024;Total;23299;1612;257;106;75;107;12;1;19;16967;3888;255
;C;12915;1518;351;119;95;120;29;0;22;7332;3169;160
;D;9854;1544;325;153;95;94;24;2;12;6135;1329;141
29/01/2024;Total;22769;3062;676;272;190;214;53;2;34;13467;4498;301
;C;11639;1452;333;157;89;105;28;0;32;6469;2839;135
;D;9391;1537;328;134;94;73;15;2;8;5903;1156;141
30/01/2024;Total;21030;2989;661;291;183;178;43;2;40;12372;3995;276
;C;14986;1863;402;160;106;144;20;1;24;8612;3492;162
;D;13672;2145;384;178;129;113;24;0;10;8586;1950;153
31/01/2024;Total;28658;4008;786;338;235;257;44;1;34;17198;5442;315
;C;15048;1739;442;178;85;121;21;1;27;8811;3434;189
;D;14062;2167;465;188;102;104;38;0;14;8820;1956;208
01/02/2024;Total;29110;3906;907;366;187;225;59;1;41;17631;5390;397
;C;16088;1811;459;144;113;96;30;1;26;9686;3527;195
;D;14687;2202;415;160;118;99;31;2;12;9437;2006;205
02/02/2024;Total;30775;4013;874;304;231;195;61;3;38;19123;5533;400
;C;14306;1319;273;100;72;91;37;0;29;8888;3316;181
;D;13579;1585;254;124;85;61;26;2;7;9329;1916;190
03/02/2024;Total;27885;2904;527;224;157;152;63;2;36;18217;5232;371
;C;11895;749;97;47;30;34;9;0;16;8304;2468;141
;D;10670;893;104;58;52;57;3;0;13;7941;1424;125
04/02/2024;Total;22565;1642;201;105;82;91;12;0;29;16245;3892;266
;C;15566;1692;416;144;113;127;36;1;20;9251;3604;162
;D;13653;2079;384;182;120;117;22;1;13;8696;1852;187
05/02/2024;Total;29219;3771;800;326;233;244;58;2;33;17947;5456;349
;C;15653;1813;407;161;122;151;35;0;30;9220;3547;167
;D;14242;2127;417;199;121;146;31;0;22;9025;1989;165
06/02/2024;Total;29895;3940;824;360;243;297;66;0;52;18245;5536;332
;C;15470;1910;461;155;111;142;33;1;18;8904;3555;180
;D;14285;2252;450;178;126;122;33;1;20;8829;2088;186
07/02/2024;Total;29755;4162;911;333;237;264;66;2;38;17733;5643;366
;C;15545;1943;425;151;120;136;31;0;22;9004;3525;188
;D;14759;2312;425;167;141;107;25;0;8;9268;2112;194
08/02/2024;Total;30304;4255;850;318;261;243;56;0;30;18272;5637;382
;C;16875;2004;398;155;117;121;26;0;13;10163;3651;227
;D;16560;2404;404;155;119;106;21;2;15;10891;2186;257
09/02/2024;Total;33435;4408;802;310;236;227;47;2;28;21054;5837;484
;C;25819;2061;333;128;85;82;21;0;7;18377;4422;303
;D;16015;1870;247;110;64;65;20;1;1;11283;2101;253
10/02/2024;Total;41834;3931;580;238;149;147;41;1;8;29660;6523;556
;C;16579;1243;243;123;52;79;6;0;14;11052;3622;145
;D;14542;1424;191;127;73;83;16;0;8;10299;2180;141
12/02/2024;Total;31121;2667;434;250;125;162;22;0;22;21351;5802;286
;C;15772;1464;324;127;89;107;31;0;12;10294;3144;180
;D;12443;1556;283;125;112;112;26;1;9;8429;1643;147
14/02/2024;Total;28215;3020;607;252;201;219;57;1;21;18723;4787;327
;C;13351;1707;333;137;111;123;13;0;16;7302;3449;160
;D;11812;1824;322;172;94;91;18;3;8;7132;1983;165
15/02/2024;Total;25163;3531;655;309;205;214;31;3;24;14434;5432;325
;C;14705;1923;367;152;115;119;19;2;17;8624;3203;164
;D;13658;2273;343;205;125;103;25;0;12;8549;1863;160
16/02/2024;Total;28363;4196;710;357;240;222;44;2;29;17173;5066;324
;C;13648;1371;254;98;59;104;14;1;15;8268;3306;158
;D;12499;1542;238;112;75;64;20;2;7;8357;1925;157
17/02/2024;Total;26147;2913;492;210;134;168;34;3;22;16625;5231;315
;C;10595;754;101;33;26;40;5;0;8;7404;2111;113
;D;9498;891;109;46;32;41;1;0;6;7067;1206;99
18/02/2024;Total;20093;1645;210;79;58;81;6;0;14;14471;3317;212
;C;15223;1812;365;150;84;122;19;0;15;8769;3725;162
;D;13131;2030;374;162;95;90;12;0;11;8208;1988;161
19/02/2024;Total;28354;3842;739;312;179;212;31;0;26;16977;5713;323
;C;14721;1950;400;140;116;111;19;1;22;8279;3536;147
;D;13203;2244;408;168;119;110;18;3;19;7980;1978;156
20/02/2024;Total;27924;4194;808;308;235;221;37;4;41;16259;5514;303
;C;12625;1252;272;99;87;102;11;0;10;7598;3028;166
;D;11836;1382;228;105;70;50;9;0;8;8022;1769;193
24/02/2024;Total;24461;2634;500;204;157;152;20;0;18;15620;4797;359
;C;11840;734;89;53;29;43;5;0;10;8143;2602;132
;D;10083;808;81;46;38;36;3;1;6;7535;1408;121
25/02/2024;Total;21923;1542;170;99;67;79;8;1;16;15678;4010;253
;C;15237;1807;375;149;86;115;25;1;9;8806;3697;167
;D;12988;2033;343;158;117;77;13;0;16;8112;1961;158
26/02/2024;Total;28225;3840;718;307;203;192;38;1;25;16918;5658;325
;C;14100;1797;386;162;103;112;33;0;17;7992;3349;149
;D;12539;2000;364;176;91;108;17;0;8;7713;1912;150
27/02/2024;Total;26639;3797;750;338;194;220;50;0;25;15705;5261;299
;C;14696;1932;390;171;98;145;25;2;15;8242;3520;156
;D;13255;2202;386;172;138;101;17;1;14;8082;1987;155
28/02/2024;Total;27951;4134;776;343;236;246;42;3;29;16324;5507;311
;C;14963;1824;431;186;99;124;35;1;15;8518;3564;166
;D;13650;2148;402;178;94;103;25;2;12;8441;2075;170
29/02/2024;Total;28613;3972;833;364;193;227;60;3;27;16959;5639;336
;C;15795;1873;394;143;111;120;36;1;23;9338;3581;175
;D;14872;2265;352;166;102;105;20;1;9;9494;2168;190
01/03/2024;Total;30667;4138;746;309;213;225;56;2;32;18832;5749;365
;C;14193;1253;230;123;70;93;23;2;6;8930;3286;177
;D;13676;1554;245;113;76;76;20;1;7;9351;2035;198
02/03/2024;Total;27869;2807;475;236;146;169;43;3;13;18281;5321;375
;C;12573;769;104;46;24;29;2;0;1;8653;2812;133
;D;10423;825;97;29;35;45;4;0;4;7743;1531;110
03/03/2024;Total;22996;1594;201;75;59;74;6;0;5;16396;4343;243
;C;15298;1747;351;138;86;151;40;1;21;8895;3658;210
;D;13395;2044;321;148;102;107;31;0;12;8356;2097;177
04/03/2024;Total;28693;3791;672;286;188;258;71;1;33;17251;5755;387
;C;14744;1946;370;153;97;123;32;0;17;8237;3604;165
;D;13423;2221;377;173;110;118;18;2;15;8147;2072;170
05/03/2024;Total;28167;4167;747;326;207;241;50;2;32;16384;5676;335
;C;14432;1869;384;129;118;101;39;1;23;8191;3426;151
;D;13442;2227;373;163;115;120;18;1;12;8104;2134;175
06/03/2024;Total;27874;4096;757;292;233;221;57;2;35;16295;5560;326
;C;13637;1674;348;132;80;114;29;0;18;7830;3249;163
;D;12599;2067;354;159;91;86;26;3;5;7785;1856;167
07/03/2024;Total;26236;3741;702;291;171;200;55;3;23;15615;5105;330
;C;16205;1980;400;152;99;130;23;1;23;9535;3663;199
;D;14795;2242;375;157;103;122;19;2;11;9445;2114;205
08/03/2024;Total;31000;4222;775;309;202;252;42;3;34;18980;5777;404
;C;14351;1233;212;89;73;86;7;0;9;8994;3485;163
;D;13501;1469;202;118;61;60;13;1;6;9383;2009;179
09/03/2024;Total;27852;2702;414;207;134;146;20;1;15;18377;5494;342
;C;12356;739;98;43;22;48;1;0;8;8584;2653;160
;D;10555;807;93;48;20;42;3;0;5;7873;1545;119
10/03/2024;Total;22911;1546;191;91;42;90;4;0;13;16457;4198;279
;C;15252;1761;342;162;94;120;37;0;15;8796;3766;159
;D;13212;2001;363;171;107;81;29;1;8;8315;2004;132
11/03/2024;Total;28464;3762;705;333;201;201;66;1;23;17111;5770;291
;C;14769;1867;413;158;94;147;32;2;13;8242;3615;186
;D;13218;2110;403;186;108;104;28;2;9;8092;1998;178
12/03/2024;Total;27987;3977;816;344;202;251;60;4;22;16334;5613;364
;C;14416;1901;410;144;112;118;36;0;20;8156;3369;150
;D;13090;2102;414;174;123;95;21;2;10;8033;1982;134
13/03/2024;Total;27506;4003;824;318;235;213;57;2;30;16189;5351;284
;C;14478;1872;412;191;97;123;36;0;13;8114;3445;175
;D;13161;2204;410;194;119;107;26;2;7;8033;1881;178
